"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"DOWN.GSE19923_WT_VS_HEB_KO_DP_THYMOCYTE_UP","GSE19923_WT_VS_HEB_KO_DP_THYMOCYTE_UP","GSE19923_WT_VS_HEB_KO_DP_THYMOCYTE_UP","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000229807",1
"DOWN.GSE21063_WT_VS_NFATC1_KO_BCELL_DN","GSE21063_WT_VS_NFATC1_KO_BCELL_DN","GSE21063_WT_VS_NFATC1_KO_BCELL_DN","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000186871",1
"DOWN.GSE21360_NAIVE_VS_QUATERNARY_MEMORY_CD8_TCELL_DN","GSE21360_NAIVE_VS_QUATERNARY_MEMORY_CD8_TCELL_DN","GSE21360_NAIVE_VS_QUATERNARY_MEMORY_CD8_TCELL_DN","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000173809",1
"DOWN.GSE21360_SECONDARY_VS_TERTIARY_MEMORY_CD8_TCELL_UP","GSE21360_SECONDARY_VS_TERTIARY_MEMORY_CD8_TCELL_UP","GSE21360_SECONDARY_VS_TERTIARY_MEMORY_CD8_TCELL_UP","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000186871",1
"DOWN.GSE21379_TFH_VS_NON_TFH_CD4_TCELL_DN","GSE21379_TFH_VS_NON_TFH_CD4_TCELL_DN","GSE21379_TFH_VS_NON_TFH_CD4_TCELL_DN","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000184368",1
"DOWN.GSE21380_NON_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_UP","GSE21380_NON_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_UP","GSE21380_NON_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_UP","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000158578",1
"DOWN.GSE21380_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_DN","GSE21380_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_DN","GSE21380_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_DN","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000186871",1
"DOWN.GSE21670_IL6_VS_TGFB_AND_IL6_TREATED_CD4_TCELL_DN","GSE21670_IL6_VS_TGFB_AND_IL6_TREATED_CD4_TCELL_DN","GSE21670_IL6_VS_TGFB_AND_IL6_TREATED_CD4_TCELL_DN","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000186871",1
"DOWN.GSE21670_TGFB_VS_TGFB_AND_IL6_TREATED_CD4_TCELL_UP","GSE21670_TGFB_VS_TGFB_AND_IL6_TREATED_CD4_TCELL_UP","GSE21670_TGFB_VS_TGFB_AND_IL6_TREATED_CD4_TCELL_UP","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000186871",1
"DOWN.GSE21670_UNTREATED_VS_IL6_TREATED_STAT3_KO_CD4_TCELL_UP","GSE21670_UNTREATED_VS_IL6_TREATED_STAT3_KO_CD4_TCELL_UP","GSE21670_UNTREATED_VS_IL6_TREATED_STAT3_KO_CD4_TCELL_UP","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000182013",1
"DOWN.GSE21774_CD56_BRIGHT_VS_DIM_CD62L_POSITIVE_NK_CELL_DN","GSE21774_CD56_BRIGHT_VS_DIM_CD62L_POSITIVE_NK_CELL_DN","GSE21774_CD56_BRIGHT_VS_DIM_CD62L_POSITIVE_NK_CELL_DN","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000186871",1
"DOWN.GSE21927_BALBC_VS_C57BL6_MONOCYTE_TUMOR_UP","GSE21927_BALBC_VS_C57BL6_MONOCYTE_TUMOR_UP","GSE21927_BALBC_VS_C57BL6_MONOCYTE_TUMOR_UP","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000186871",1
"DOWN.GSE2197_CPG_DNA_VS_UNTREATED_IN_DC_DN","GSE2197_CPG_DNA_VS_UNTREATED_IN_DC_DN","GSE2197_CPG_DNA_VS_UNTREATED_IN_DC_DN","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000186871",1
"DOWN.GSE22432_MULTIPOTENT_PROGENITOR_VS_PDC_UP","GSE22432_MULTIPOTENT_PROGENITOR_VS_PDC_UP","GSE22432_MULTIPOTENT_PROGENITOR_VS_PDC_UP","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000067842",1
"DOWN.GSE22432_MULTIPOTENT_VS_COMMON_DC_PROGENITOR_DN","GSE22432_MULTIPOTENT_VS_COMMON_DC_PROGENITOR_DN","GSE22432_MULTIPOTENT_VS_COMMON_DC_PROGENITOR_DN","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000182013",1
"DOWN.GSE22601_IMMATURE_CD4_SINGLE_POSITIVE_VS_CD4_SINGLE_POSITIVE_THYMOCYTE_DN","GSE22601_IMMATURE_CD4_SINGLE_POSITIVE_VS_CD4_SINGLE_POSITIVE_THYMOCYTE_DN","GSE22601_IMMATURE_CD4_SINGLE_POSITIVE_VS_CD4_SINGLE_POSITIVE_THYMOCYTE_DN","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000173809",1
"DOWN.GSE22886_UNSTIM_VS_IL2_STIM_NKCELL_DN","GSE22886_UNSTIM_VS_IL2_STIM_NKCELL_DN","GSE22886_UNSTIM_VS_IL2_STIM_NKCELL_DN","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000186871",1
"DOWN.GSE22935_24H_VS_48H_MBOVIS_BCG_STIM_MACROPHAGE_UP","GSE22935_24H_VS_48H_MBOVIS_BCG_STIM_MACROPHAGE_UP","GSE22935_24H_VS_48H_MBOVIS_BCG_STIM_MACROPHAGE_UP","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000158578",1
"DOWN.GSE23505_IL6_IL1_IL23_VS_IL6_IL1_TGFB_TREATED_CD4_TCELL_DN","GSE23505_IL6_IL1_IL23_VS_IL6_IL1_TGFB_TREATED_CD4_TCELL_DN","GSE23505_IL6_IL1_IL23_VS_IL6_IL1_TGFB_TREATED_CD4_TCELL_DN","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000186871",1
"DOWN.GSE23505_IL6_IL1_IL23_VS_IL6_IL1_TGFB_TREATED_CD4_TCELL_UP","GSE23505_IL6_IL1_IL23_VS_IL6_IL1_TGFB_TREATED_CD4_TCELL_UP","GSE23505_IL6_IL1_IL23_VS_IL6_IL1_TGFB_TREATED_CD4_TCELL_UP","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000186871",1
"DOWN.GSE2405_0H_VS_1.5H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP","GSE2405_0H_VS_1.5H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP","GSE2405_0H_VS_1.5H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000158578",1
"DOWN.GSE2405_HEAT_KILLED_LYSATE_VS_LIVE_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_24H_DN","GSE2405_HEAT_KILLED_LYSATE_VS_LIVE_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_24H_DN","GSE2405_HEAT_KILLED_LYSATE_VS_LIVE_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_24H_DN","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000229807",1
"DOWN.GSE24634_TREG_VS_TCONV_POST_DAY3_IL4_CONVERSION_UP","GSE24634_TREG_VS_TCONV_POST_DAY3_IL4_CONVERSION_UP","GSE24634_TREG_VS_TCONV_POST_DAY3_IL4_CONVERSION_UP","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000186871",1
"DOWN.GSE24634_TREG_VS_TCONV_POST_DAY5_IL4_CONVERSION_UP","GSE24634_TREG_VS_TCONV_POST_DAY5_IL4_CONVERSION_UP","GSE24634_TREG_VS_TCONV_POST_DAY5_IL4_CONVERSION_UP","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000186871",1
"DOWN.GSE24671_BAKIMULC_VS_SENDAI_VIRUS_INFECTED_MOUSE_SPLENOCYTES_UP","GSE24671_BAKIMULC_VS_SENDAI_VIRUS_INFECTED_MOUSE_SPLENOCYTES_UP","GSE24671_BAKIMULC_VS_SENDAI_VIRUS_INFECTED_MOUSE_SPLENOCYTES_UP","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000186871",1
"DOWN.GSE24726_WT_VS_E2_2_KO_PDC_DAY6_POST_DELETION_DN","GSE24726_WT_VS_E2_2_KO_PDC_DAY6_POST_DELETION_DN","GSE24726_WT_VS_E2_2_KO_PDC_DAY6_POST_DELETION_DN","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000229807",1
"DOWN.GSE24726_WT_VS_E2_2_KO_PDC_DAY6_POST_DELETION_UP","GSE24726_WT_VS_E2_2_KO_PDC_DAY6_POST_DELETION_UP","GSE24726_WT_VS_E2_2_KO_PDC_DAY6_POST_DELETION_UP","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000186871",1
"DOWN.GSE24726_WT_VS_E2_2_KO_PDC_UP","GSE24726_WT_VS_E2_2_KO_PDC_UP","GSE24726_WT_VS_E2_2_KO_PDC_UP","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000186871",1
"DOWN.GSE25085_FETAL_LIVER_VS_ADULT_BM_SP4_THYMIC_IMPLANT_DN","GSE25085_FETAL_LIVER_VS_ADULT_BM_SP4_THYMIC_IMPLANT_DN","GSE25085_FETAL_LIVER_VS_ADULT_BM_SP4_THYMIC_IMPLANT_DN","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000186871",1
"DOWN.GSE25085_FETAL_LIVER_VS_ADULT_BM_SP4_THYMIC_IMPLANT_UP","GSE25085_FETAL_LIVER_VS_ADULT_BM_SP4_THYMIC_IMPLANT_UP","GSE25085_FETAL_LIVER_VS_ADULT_BM_SP4_THYMIC_IMPLANT_UP","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000186871",1
"DOWN.GSE25088_IL4_VS_IL4_AND_ROSIGLITAZONE_STIM_MACROPHAGE_DAY10_DN","GSE25088_IL4_VS_IL4_AND_ROSIGLITAZONE_STIM_MACROPHAGE_DAY10_DN","GSE25088_IL4_VS_IL4_AND_ROSIGLITAZONE_STIM_MACROPHAGE_DAY10_DN","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000186871",1
"DOWN.GSE25123_CTRL_VS_IL4_AND_ROSIGLITAZONE_STIM_MACROPHAGE_DN","GSE25123_CTRL_VS_IL4_AND_ROSIGLITAZONE_STIM_MACROPHAGE_DN","GSE25123_CTRL_VS_IL4_AND_ROSIGLITAZONE_STIM_MACROPHAGE_DN","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000067842",1
"DOWN.GSE26669_CTRL_VS_COSTIM_BLOCK_MLR_CD8_TCELL_UP","GSE26669_CTRL_VS_COSTIM_BLOCK_MLR_CD8_TCELL_UP","GSE26669_CTRL_VS_COSTIM_BLOCK_MLR_CD8_TCELL_UP","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000186871",1
"DOWN.GSE2770_IL12_AND_TGFB_VS_IL4_TREATED_ACT_CD4_TCELL_6H_DN","GSE2770_IL12_AND_TGFB_VS_IL4_TREATED_ACT_CD4_TCELL_6H_DN","GSE2770_IL12_AND_TGFB_VS_IL4_TREATED_ACT_CD4_TCELL_6H_DN","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000182013",1
"DOWN.GSE2770_IL4_ACT_VS_ACT_CD4_TCELL_2H_DN","GSE2770_IL4_ACT_VS_ACT_CD4_TCELL_2H_DN","GSE2770_IL4_ACT_VS_ACT_CD4_TCELL_2H_DN","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000173809",1
"DOWN.GSE2770_UNTREATED_VS_TGFB_AND_IL12_TREATED_ACT_CD4_TCELL_6H_DN","GSE2770_UNTREATED_VS_TGFB_AND_IL12_TREATED_ACT_CD4_TCELL_6H_DN","GSE2770_UNTREATED_VS_TGFB_AND_IL12_TREATED_ACT_CD4_TCELL_6H_DN","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000067842",1
"DOWN.GSE27786_BCELL_VS_NEUTROPHIL_UP","GSE27786_BCELL_VS_NEUTROPHIL_UP","GSE27786_BCELL_VS_NEUTROPHIL_UP","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000186871",1
"DOWN.GSE27786_BCELL_VS_NKCELL_UP","GSE27786_BCELL_VS_NKCELL_UP","GSE27786_BCELL_VS_NKCELL_UP","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000186871",1
"DOWN.GSE27786_BCELL_VS_NKTCELL_UP","GSE27786_BCELL_VS_NKTCELL_UP","GSE27786_BCELL_VS_NKTCELL_UP","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000186871",1
"DOWN.GSE27786_CD8_TCELL_VS_MONO_MAC_DN","GSE27786_CD8_TCELL_VS_MONO_MAC_DN","GSE27786_CD8_TCELL_VS_MONO_MAC_DN","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000186871",1
"DOWN.GSE27786_LSK_VS_MONO_MAC_UP","GSE27786_LSK_VS_MONO_MAC_UP","GSE27786_LSK_VS_MONO_MAC_UP","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000229807",1
"DOWN.GSE27786_NKCELL_VS_MONO_MAC_DN","GSE27786_NKCELL_VS_MONO_MAC_DN","GSE27786_NKCELL_VS_MONO_MAC_DN","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000186871",1
"DOWN.GSE27786_NKTCELL_VS_MONO_MAC_DN","GSE27786_NKTCELL_VS_MONO_MAC_DN","GSE27786_NKTCELL_VS_MONO_MAC_DN","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000186871",1
"DOWN.GSE27859_DC_VS_CD11C_INT_F480_INT_DC_DN","GSE27859_DC_VS_CD11C_INT_F480_INT_DC_DN","GSE27859_DC_VS_CD11C_INT_F480_INT_DC_DN","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000186871",1
"DOWN.GSE28737_WT_VS_BCL6_HET_FOLLICULAR_BCELL_UP","GSE28737_WT_VS_BCL6_HET_FOLLICULAR_BCELL_UP","GSE28737_WT_VS_BCL6_HET_FOLLICULAR_BCELL_UP","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000158578",1
"DOWN.GSE29164_CD8_TCELL_VS_CD8_TCELL_AND_IL12_TREATED_MELANOMA_DAY3_DN","GSE29164_CD8_TCELL_VS_CD8_TCELL_AND_IL12_TREATED_MELANOMA_DAY3_DN","GSE29164_CD8_TCELL_VS_CD8_TCELL_AND_IL12_TREATED_MELANOMA_DAY3_DN","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000158578",1
"DOWN.GSE29164_UNTREATED_VS_CD8_TCELL_AND_IL12_TREATED_MELANOMA_DAY3_DN","GSE29164_UNTREATED_VS_CD8_TCELL_AND_IL12_TREATED_MELANOMA_DAY3_DN","GSE29164_UNTREATED_VS_CD8_TCELL_AND_IL12_TREATED_MELANOMA_DAY3_DN","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000186871",1
"DOWN.GSE29618_PRE_VS_DAY7_FLU_VACCINE_PDC_UP","GSE29618_PRE_VS_DAY7_FLU_VACCINE_PDC_UP","GSE29618_PRE_VS_DAY7_FLU_VACCINE_PDC_UP","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000158578",1
"DOWN.GSE29949_CD8_NEG_DC_SPLEEN_VS_DC_BRAIN_DN","GSE29949_CD8_NEG_DC_SPLEEN_VS_DC_BRAIN_DN","GSE29949_CD8_NEG_DC_SPLEEN_VS_DC_BRAIN_DN","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000102055",1
"DOWN.GSE3039_B2_VS_B1_BCELL_DN","GSE3039_B2_VS_B1_BCELL_DN","GSE3039_B2_VS_B1_BCELL_DN","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000186871",1
"DOWN.GSE3039_CD4_TCELL_VS_NKT_CELL_DN","GSE3039_CD4_TCELL_VS_NKT_CELL_DN","GSE3039_CD4_TCELL_VS_NKT_CELL_DN","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000186871",1
"DOWN.GSE30962_PRIMARY_VS_SECONDARY_ACUTE_LCMV_INF_CD8_TCELL_UP","GSE30962_PRIMARY_VS_SECONDARY_ACUTE_LCMV_INF_CD8_TCELL_UP","GSE30962_PRIMARY_VS_SECONDARY_ACUTE_LCMV_INF_CD8_TCELL_UP","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000186871",1
"DOWN.GSE31082_DN_VS_CD4_SP_THYMOCYTE_UP","GSE31082_DN_VS_CD4_SP_THYMOCYTE_UP","GSE31082_DN_VS_CD4_SP_THYMOCYTE_UP","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000186871",1
"DOWN.GSE3203_UNTREATED_VS_IFNB_TREATED_LN_BCELL_UP","GSE3203_UNTREATED_VS_IFNB_TREATED_LN_BCELL_UP","GSE3203_UNTREATED_VS_IFNB_TREATED_LN_BCELL_UP","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000229807",1
"DOWN.GSE32034_LY6C_HIGH_VS_LOW_MONOCYTE_UP","GSE32034_LY6C_HIGH_VS_LOW_MONOCYTE_UP","GSE32034_LY6C_HIGH_VS_LOW_MONOCYTE_UP","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000229807",1
"DOWN.GSE32533_WT_VS_MIR17_KO_ACT_CD4_TCELL_UP","GSE32533_WT_VS_MIR17_KO_ACT_CD4_TCELL_UP","GSE32533_WT_VS_MIR17_KO_ACT_CD4_TCELL_UP","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000173809",1
"DOWN.GSE34156_TLR1_TLR2_LIGAND_VS_NOD2_AND_TLR1_TLR2_LIGAND_6H_TREATED_MONOCYTE_UP","GSE34156_TLR1_TLR2_LIGAND_VS_NOD2_AND_TLR1_TLR2_LIGAND_6H_TREATED_MONOCYTE_UP","GSE34156_TLR1_TLR2_LIGAND_VS_NOD2_AND_TLR1_TLR2_LIGAND_6H_TREATED_MONOCYTE_UP","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000229807",1
"DOWN.GSE34205_HEALTHY_VS_RSV_INF_INFANT_PBMC_DN","GSE34205_HEALTHY_VS_RSV_INF_INFANT_PBMC_DN","GSE34205_HEALTHY_VS_RSV_INF_INFANT_PBMC_DN","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000158578",1
"DOWN.GSE360_DC_VS_MAC_UP","GSE360_DC_VS_MAC_UP","GSE360_DC_VS_MAC_UP","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000067842",1
"DOWN.GSE360_L_DONOVANI_VS_T_GONDII_DC_UP","GSE360_L_DONOVANI_VS_T_GONDII_DC_UP","GSE360_L_DONOVANI_VS_T_GONDII_DC_UP","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000102055",1
"DOWN.GSE360_LOW_DOSE_B_MALAYI_VS_M_TUBERCULOSIS_MAC_UP","GSE360_LOW_DOSE_B_MALAYI_VS_M_TUBERCULOSIS_MAC_UP","GSE360_LOW_DOSE_B_MALAYI_VS_M_TUBERCULOSIS_MAC_UP","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000067842",1
"DOWN.GSE36476_CTRL_VS_TSST_ACT_72H_MEMORY_CD4_TCELL_YOUNG_DN","GSE36476_CTRL_VS_TSST_ACT_72H_MEMORY_CD4_TCELL_YOUNG_DN","GSE36476_CTRL_VS_TSST_ACT_72H_MEMORY_CD4_TCELL_YOUNG_DN","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000186871",1
"DOWN.GSE36476_YOUNG_VS_OLD_DONOR_MEMORY_CD4_TCELL_72H_TSST_ACT_UP","GSE36476_YOUNG_VS_OLD_DONOR_MEMORY_CD4_TCELL_72H_TSST_ACT_UP","GSE36476_YOUNG_VS_OLD_DONOR_MEMORY_CD4_TCELL_72H_TSST_ACT_UP","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000102055",1
"DOWN.GSE3720_VD1_VS_VD2_GAMMADELTA_TCELL_WITH_LPS_STIM_DN","GSE3720_VD1_VS_VD2_GAMMADELTA_TCELL_WITH_LPS_STIM_DN","GSE3720_VD1_VS_VD2_GAMMADELTA_TCELL_WITH_LPS_STIM_DN","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000186871",1
"DOWN.GSE39820_CTRL_VS_TGFBETA3_IL6_IL23A_CD4_TCELL_UP","GSE39820_CTRL_VS_TGFBETA3_IL6_IL23A_CD4_TCELL_UP","GSE39820_CTRL_VS_TGFBETA3_IL6_IL23A_CD4_TCELL_UP","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000186871",1
"DOWN.GSE40274_FOXP3_VS_FOXP3_AND_EOS_TRANSDUCED_ACTIVATED_CD4_TCELL_DN","GSE40274_FOXP3_VS_FOXP3_AND_EOS_TRANSDUCED_ACTIVATED_CD4_TCELL_DN","GSE40274_FOXP3_VS_FOXP3_AND_EOS_TRANSDUCED_ACTIVATED_CD4_TCELL_DN","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000186871",1
"DOWN.GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_1H_DN","GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_1H_DN","GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_1H_DN","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000173809",1
"DOWN.GSE43700_UNTREATED_VS_IL10_TREATED_PBMC_UP","GSE43700_UNTREATED_VS_IL10_TREATED_PBMC_UP","GSE43700_UNTREATED_VS_IL10_TREATED_PBMC_UP","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000158578",1
"DOWN.GSE43863_DAY6_EFF_VS_DAY150_MEM_LY6C_INT_CXCR5POS_CD4_TCELL_UP","GSE43863_DAY6_EFF_VS_DAY150_MEM_LY6C_INT_CXCR5POS_CD4_TCELL_UP","GSE43863_DAY6_EFF_VS_DAY150_MEM_LY6C_INT_CXCR5POS_CD4_TCELL_UP","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000229807",1
"DOWN.GSE43863_TH1_VS_LY6C_INT_CXCR5POS_MEMORY_CD4_TCELL_DN","GSE43863_TH1_VS_LY6C_INT_CXCR5POS_MEMORY_CD4_TCELL_DN","GSE43863_TH1_VS_LY6C_INT_CXCR5POS_MEMORY_CD4_TCELL_DN","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000229807",1
"DOWN.GSE46606_IRF4HIGH_VS_WT_CD40L_IL2_IL5_DAY1_STIMULATED_BCELL_UP","GSE46606_IRF4HIGH_VS_WT_CD40L_IL2_IL5_DAY1_STIMULATED_BCELL_UP","GSE46606_IRF4HIGH_VS_WT_CD40L_IL2_IL5_DAY1_STIMULATED_BCELL_UP","1/9","200/21525",0.005,11.9583333333333,3.18432189707651,0.080596604221194,0.0819078538578528,0.0814288605604385,"ENSG00000186871",1
